fam,geneA1_extracted,geneA2_extracted,geneB1_extracted,geneB2_extracted
Legume.fam3.00616,Glyma.15G081600,Glyma.13G230800,Glyma.02G140100,Glyma.07G205200
Legume.fam3.00617,Glyma.13G225700,Glyma.15G086400,Glyma.05G162300,Glyma.08G119900
Legume.fam3.00624,Glyma.15G021202,Glyma.13G353100,Glyma.08G199500,Glyma.07G014100
Legume.fam3.00626,Glyma.08G008400,Glyma.05G201100,Glyma.04G200400,Glyma.06G165200
Legume.fam3.00629,Glyma.15G095500,Glyma.13G217000,Glyma.07G250000,Glyma.17G024400
Legume.fam3.00631,Glyma.07G238000,Glyma.17G035400,Glyma.09G034300,Glyma.15G139000
Legume.fam3.00632,Glyma.17G035900,Glyma.07G237600,Glyma.15G138500,Glyma.09G033800
Legume.fam3.00637,Glyma.05G058700,Glyma.17G141100,Glyma.01G210100,Glyma.11G032000
Legume.fam3.00644,Glyma.01G002300,Glyma.07G130100,Glyma.06G271600,Glyma.12G133400
Legume.fam3.00645,Glyma.07G011000,Glyma.08G194200,Glyma.15G023400,Glyma.13G351200
Legume.fam3.00647,Glyma.08G086300,Glyma.05G131800,Glyma.09G052700,Glyma.15G159000
Legume.fam3.00648,Glyma.07G153100,Glyma.18G204200,Glyma.01G118000,Glyma.03G055100
Legume.fam3.00649,Glyma.18G205800,Glyma.07G155200,Glyma.01G124500,Glyma.03G050100
Legume.fam3.00653,Glyma.13G367600,Glyma.15G005800,Glyma.07G027900,Glyma.08G214800
Legume.fam3.00655,Glyma.02G095200,Glyma.18G286200,Glyma.10G290900,Glyma.20G240000
Legume.fam3.00657,Glyma.07G100400,Glyma.09G178200,Glyma.08G052100,Glyma.05G244200
Legume.fam3.00658,Glyma.05G232400,Glyma.08G039800,Glyma.09G188000,Glyma.07G089000
Legume.fam3.00660,Glyma.03G169600,Glyma.19G170800,Glyma.13G128800,Glyma.10G041800
Legume.fam3.00661,Glyma.19G173800,Glyma.03G172900,Glyma.10G044800,Glyma.13G132500
Legume.fam3.00663,Glyma.08G070400,Glyma.13G042600,Glyma.08G177300,Glyma.15G055700
Legume.fam3.00664,Glyma.14G216400,Glyma.17G255000,Glyma.04G027400,Glyma.06G027500
Legume.fam3.00665,Glyma.04G028600,Glyma.06G028700,Glyma.17G254100,Glyma.14G070600
Legume.fam3.00667,Glyma.17G202000,Glyma.14G133200,Glyma.06G075700,Glyma.04G074600
Legume.fam3.00668,Glyma.04G067000,Glyma.06G068500,Glyma.14G116900,Glyma.17G210800
Legume.fam3.00669,Glyma.14G116600,Glyma.17G211100,Glyma.06G068300,Glyma.04G066800
Legume.fam3.00670,Glyma.17G216600,Glyma.14G111300,Glyma.06G063800,Glyma.04G062700
Legume.fam3.00672,Glyma.18G034100,Glyma.11G223800,Glyma.02G251800,Glyma.14G065000
Legume.fam3.00675,Glyma.18G114800,Glyma.08G304300,Glyma.02G282600,Glyma.14G031700
Legume.fam3.00685,Glyma.07G015800,Glyma.08G201300,Glyma.13G355000,Glyma.15G019200
Legume.fam3.00687,Glyma.06G165700,Glyma.04G199900,Glyma.08G009100,Glyma.05G201700
Legume.fam3.00688,Glyma.05G199200,Glyma.08G006500,Glyma.06G162600,Glyma.04G202900
Legume.fam3.00691,Glyma.09G062900,Glyma.15G169500,Glyma.13G104000,Glyma.17G055100
Legume.fam3.00694,Glyma.16G126500,Glyma.02G047000,Glyma.01G165300,Glyma.11G077900
Legume.fam3.00698,Glyma.05G110600,Glyma.17G156100,Glyma.11G043700,Glyma.01G197900
Legume.fam3.00699,Glyma.05G070200,Glyma.17G152800,Glyma.11G041300,Glyma.01G200800
Legume.fam3.00702,Glyma.13G312500,Glyma.12G189300,Glyma.11G177001,Glyma.12G095200
Legume.fam3.00705,Glyma.15G043800,Glyma.13G330200,Glyma.11G147944,Glyma.12G074000
Legume.fam3.00719,Glyma.13G052000,Glyma.19G034700,Glyma.18G274000,Glyma.08G251300
Legume.fam3.00720,Glyma.18G273500,Glyma.08G250700,Glyma.19G034500,Glyma.13G052700
Legume.fam3.00722,Glyma.05G246400,Glyma.08G054500,Glyma.09G176900,Glyma.07G102400
Legume.fam3.00724,Glyma.05G229900,Glyma.08G037400,Glyma.09G191600,Glyma.07G085300
Legume.fam3.00726,Glyma.03G209100,Glyma.19G206300,Glyma.10G021600,Glyma.02G152600
Legume.fam3.00732,Glyma.19G212200,Glyma.03G215700,Glyma.10G017300,Glyma.02G016700
Legume.fam3.00735,Glyma.17G102800,Glyma.05G024500,Glyma.06G196800,Glyma.04G165700
Legume.fam3.00743,Glyma.04G010500,Glyma.06G010400,Glyma.11G115000,Glyma.12G040800
Legume.fam3.00744,Glyma.06G138100,Glyma.04G226700,Glyma.14G189300,Glyma.02G222300
Legume.fam3.00745,Glyma.18G028700,Glyma.11G228400,Glyma.02G256600,Glyma.14G060100
Legume.fam3.00746,Glyma.11G227600,Glyma.18G029900,Glyma.02G254600,Glyma.14G061800
Legume.fam3.00747,Glyma.18G031300,Glyma.11G226000,Glyma.14G063200,Glyma.02G253200
Legume.fam3.00748,Glyma.14G067000,Glyma.02G249600,Glyma.11G221000,Glyma.18G036400
Legume.fam3.00749,Glyma.14G208000,Glyma.02G239100,Glyma.18G047800,Glyma.11G203000
Legume.fam3.00750,Glyma.02G298000,Glyma.14G015700,Glyma.08G326000,Glyma.18G081000
Legume.fam3.00751,Glyma.14G023500,Glyma.02G291300,Glyma.08G316500,Glyma.18G096500
Legume.fam3.00753,Glyma.13G178500,Glyma.07G198000,Glyma.13G238100,Glyma.15G075200
Legume.fam3.00754,Glyma.13G228700,Glyma.15G083800,Glyma.05G158800,Glyma.08G116600
Legume.fam3.00757,Glyma.08G195200,Glyma.07G012000,Glyma.13G351800,Glyma.15G022900
Legume.fam3.00759,Glyma.18G155100,Glyma.08G345400,Glyma.16G084300,Glyma.03G088900
Legume.fam3.00761,Glyma.17G092300,Glyma.05G035000,Glyma.04G180000,Glyma.06G184800
Legume.fam3.00762,Glyma.04G201200,Glyma.06G164300,Glyma.05G200300,Glyma.08G007700
Legume.fam3.00764,Glyma.06G156500,Glyma.04G209400,Glyma.05G194500,Glyma.08G002300
Legume.fam3.00765,Glyma.08G001200,Glyma.05G193200,Glyma.06G154800,Glyma.04G211300
Legume.fam3.00766,Glyma.13G100200,Glyma.17G059700,Glyma.15G165500,Glyma.09G059200
Legume.fam3.00769,Glyma.15G145200,Glyma.09G040000,Glyma.07G243300,Glyma.17G030600
Legume.fam3.00770,Glyma.15G103800,Glyma.13G209101,Glyma.17G017400,Glyma.07G256700
Legume.fam3.00772,Glyma.17G165200,Glyma.05G101700,Glyma.01G190700,Glyma.11G051500
Legume.fam3.00775,Glyma.01G212100,Glyma.11G029700,Glyma.05G052800,Glyma.17G135100
Legume.fam3.00780,Glyma.20G035200,Glyma.07G229600,Glyma.02G108600,Glyma.01G049400
Legume.fam3.00781,Glyma.05G177500,Glyma.08G134600,Glyma.18G016400,Glyma.11G240900
Legume.fam3.00783,Glyma.05G191700,Glyma.08G156900,Glyma.04G213000,Glyma.06G153200
Legume.fam3.00785,Glyma.09G064400,Glyma.15G170700,Glyma.17G053800,Glyma.13G105600
Legume.fam3.00791,Glyma.15G271900,Glyma.08G152500,Glyma.12G238700,Glyma.13G204400
Legume.fam3.00796,Glyma.08G206900,Glyma.07G006300,Glyma.13G359500,Glyma.15G014400
Legume.fam3.00799,Glyma.16G173700,Glyma.09G127000,Glyma.20G163900,Glyma.10G229400
Legume.fam3.00801,Glyma.16G209500,Glyma.09G160100,Glyma.10G174900,Glyma.20G215900
Legume.fam3.00804,Glyma.19G159000,Glyma.03G156700,Glyma.10G028900,Glyma.02G145100
Legume.fam3.00805,Glyma.10G052000,Glyma.13G139400,Glyma.03G180500,Glyma.19G181100
Legume.fam3.00806,Glyma.03G182400,Glyma.19G183000,Glyma.13G144400,Glyma.10G057600
Legume.fam3.00807,Glyma.19G188600,Glyma.03G188400,Glyma.13G148100,Glyma.10G063600
Legume.fam3.00811,Glyma.02G013402,Glyma.10G014000,Glyma.03G218600,Glyma.19G215400
Legume.fam3.00812,Glyma.19G225900,Glyma.03G228600,Glyma.20G093000,Glyma.10G144100
Legume.fam3.00813,Glyma.03G235100,Glyma.19G232800,Glyma.10G151500,Glyma.20G236700
Legume.fam3.00814,Glyma.03G239400,Glyma.19G236400,Glyma.20G232400,Glyma.10G155900
Legume.fam3.00816,Glyma.03G248000,Glyma.19G246000,Glyma.10G163400,Glyma.20G226000
Legume.fam3.00817,Glyma.16G107000,Glyma.16G075600,Glyma.01G151300,Glyma.09G216300
Legume.fam3.00818,Glyma.14G221100,Glyma.17G260000,Glyma.06G022100,Glyma.04G021900
Legume.fam3.00823,Glyma.04G066900,Glyma.06G068400,Glyma.14G116800,Glyma.17G211000
Legume.fam3.00825,Glyma.14G087500,Glyma.17G236800,Glyma.04G044600,Glyma.06G045100
Legume.fam3.00829,Glyma.04G009000,Glyma.06G008900,Glyma.12G038100,Glyma.11G111900
Legume.fam3.00830,Glyma.02G259300,Glyma.14G053600,Glyma.06G145300,Glyma.04G220600
Legume.fam3.00840,Glyma.17G008800,Glyma.07G265200,Glyma.09G010300,Glyma.15G114800
Legume.fam3.00845,Glyma.16G015400,Glyma.07G046800,Glyma.19G261700,Glyma.03G262700
Legume.fam3.00849,Glyma.13G350700,Glyma.15G023800,Glyma.07G010400,Glyma.08G193500
Legume.fam3.00851,Glyma.07G016400,Glyma.08G201800,Glyma.15G019000,Glyma.13G355200
Legume.fam3.00852,Glyma.07G019800,Glyma.08G204900,Glyma.15G016200,Glyma.13G357400
Legume.fam3.00853,Glyma.15G015200,Glyma.13G358800,Glyma.07G005300,Glyma.08G205800
Legume.fam3.00854,Glyma.13G370200,Glyma.15G003200,Glyma.07G022700,Glyma.08G219100
Legume.fam3.00856,Glyma.03G042800,Glyma.01G128000,Glyma.18G208700,Glyma.09G280300
Legume.fam3.00857,Glyma.06G179800,Glyma.04G186300,Glyma.17G086800,Glyma.05G040100
Legume.fam3.00858,Glyma.06G174700,Glyma.04G191100,Glyma.17G126500,Glyma.05G044000
Legume.fam3.00859,Glyma.05G204500,Glyma.08G011700,Glyma.06G169000,Glyma.04G196800
Legume.fam3.00861,Glyma.05G201200,Glyma.08G008600,Glyma.04G200300,Glyma.06G165302
Legume.fam3.00863,Glyma.04G203200,Glyma.06G162300,Glyma.08G005900,Glyma.05G198700
Legume.fam3.00865,Glyma.04G205800,Glyma.06G159800,Glyma.08G004900,Glyma.05G197500
Legume.fam3.00866,Glyma.08G003300,Glyma.05G195700,Glyma.06G158200,Glyma.04G207600
Legume.fam3.00868,Glyma.04G151600,Glyma.06G211300,Glyma.17G120400,Glyma.05G012300
Legume.fam3.00869,Glyma.09G062400,Glyma.15G168800,Glyma.13G102800,Glyma.17G056300
Legume.fam3.00870,Glyma.17G048900,Glyma.13G110700,Glyma.15G177900,Glyma.09G069900
Legume.fam3.00871,Glyma.17G024300,Glyma.07G250100,Glyma.15G095600,Glyma.13G216900
Legume.fam3.00872,Glyma.07G242000,Glyma.17G031900,Glyma.15G143400,Glyma.09G038300
Legume.fam3.00873,Glyma.13G112600,Glyma.17G047100,Glyma.15G181000,Glyma.09G072200
Legume.fam3.00874,Glyma.20G086700,Glyma.10G008700,Glyma.20G202100,Glyma.10G188600
Legume.fam3.00875,Glyma.13G208800,Glyma.15G104000,Glyma.17G017100,Glyma.07G257000
Legume.fam3.00878,Glyma.09G197700,Glyma.16G111500,Glyma.01G158200,Glyma.11G086500
Legume.fam3.00879,Glyma.11G084700,Glyma.01G159500,Glyma.02G041700,Glyma.16G118400
Legume.fam3.00883,Glyma.11G053800,Glyma.01G188400,Glyma.17G170300,Glyma.05G091200
Legume.fam3.00884,Glyma.11G051400,Glyma.01G190800,Glyma.05G101900,Glyma.17G165000
Legume.fam3.00885,Glyma.17G161400,Glyma.05G105100,Glyma.01G193200,Glyma.11G048600
Legume.fam3.00886,Glyma.17G156300,Glyma.05G110400,Glyma.11G043800,Glyma.01G197800
Legume.fam3.00888,Glyma.11G039700,Glyma.01G203300,Glyma.05G068400,Glyma.17G150900
Legume.fam3.00889,Glyma.11G039300,Glyma.01G203500,Glyma.05G067800,Glyma.17G149900
Legume.fam3.00890,Glyma.11G038800,Glyma.01G204200,Glyma.05G066700,Glyma.17G148800
Legume.fam3.00891,Glyma.17G145900,Glyma.05G064200,Glyma.01G205900,Glyma.11G036900
Legume.fam3.00892,Glyma.05G059900,Glyma.17G142402,Glyma.11G033200,Glyma.01G209000
Legume.fam3.00894,Glyma.01G213500,Glyma.11G028400,Glyma.05G054500,Glyma.17G136900
Legume.fam3.00895,Glyma.11G024700,Glyma.01G218800,Glyma.05G206300,Glyma.08G013200
Legume.fam3.00896,Glyma.08G023100,Glyma.05G217100,Glyma.01G225800,Glyma.11G017100
Legume.fam3.00900,Glyma.12G094500,Glyma.11G179000,Glyma.12G188600,Glyma.13G313000
Legume.fam3.00901,Glyma.01G049100,Glyma.02G108500,Glyma.07G229800,Glyma.20G035300
Legume.fam3.00904,Glyma.13G324200,Glyma.12G176400,Glyma.11G196300,Glyma.12G077800
Legume.fam3.00905,Glyma.13G325400,Glyma.12G174000,Glyma.11G145600,Glyma.12G076100
Legume.fam3.00914,Glyma.07G223100,Glyma.20G022400,Glyma.15G126400,Glyma.09G019900
Legume.fam3.00918,Glyma.01G127600,Glyma.03G043060,Glyma.18G208100,Glyma.09G280700
Legume.fam3.00920,Glyma.07G027800,Glyma.08G214900,Glyma.15G005500,Glyma.13G367700
Legume.fam3.00921,Glyma.05G222200,Glyma.08G028900,Glyma.01G002600,Glyma.07G129700
Legume.fam3.00922,Glyma.09G235900,Glyma.18G261100,Glyma.13G062200,Glyma.19G024400
Legume.fam3.00923,Glyma.19G024700,Glyma.13G061900,Glyma.09G235600,Glyma.18G261400
Legume.fam3.00925,Glyma.08G056500,Glyma.05G248000,Glyma.09G171600,Glyma.07G106600
Legume.fam3.00927,Glyma.05G231200,Glyma.08G038700,Glyma.09G190400,Glyma.07G086600
Legume.fam3.00928,Glyma.05G226800,Glyma.08G033600,Glyma.01G007900,Glyma.16G078400
Legume.fam3.00930,Glyma.07G126800,Glyma.01G005000,Glyma.05G224400,Glyma.08G031400
Legume.fam3.00931,Glyma.13G064200,Glyma.19G020700,Glyma.09G239800,Glyma.18G257700
Legume.fam3.00934,Glyma.03G164600,Glyma.19G166000,Glyma.10G038400,Glyma.13G124800
Legume.fam3.00937,Glyma.03G180300,Glyma.19G181000,Glyma.10G051900,Glyma.13G139300
Legume.fam3.00938,Glyma.19G184100,Glyma.03G183300,Glyma.13G142400,Glyma.10G055300
Legume.fam3.00939,Glyma.13G141200,Glyma.10G054200,Glyma.03G184500,Glyma.19G184900
Legume.fam3.00945,Glyma.19G211000,Glyma.03G214150,Glyma.10G018700,Glyma.02G155600
Legume.fam3.00946,Glyma.02G006600,Glyma.10G139200,Glyma.03G225400,Glyma.19G222400
Legume.fam3.00949,Glyma.03G243000,Glyma.19G240500,Glyma.20G229900,Glyma.10G158700
Legume.fam3.00950,Glyma.04G161400,Glyma.06G204300,Glyma.05G019900,Glyma.17G079900
Legume.fam3.00951,Glyma.14G071900,Glyma.17G253000,Glyma.06G030000,Glyma.04G029900
Legume.fam3.00953,Glyma.06G013100,Glyma.04G013200,Glyma.12G044000,Glyma.11G118600
Legume.fam3.00954,Glyma.14G134100,Glyma.17G199200,Glyma.06G076100,Glyma.04G075100
Legume.fam3.00956,Glyma.06G063000,Glyma.04G062000,Glyma.17G218000,Glyma.14G109200
Legume.fam3.00957,Glyma.04G060600,Glyma.06G061200,Glyma.14G101800,Glyma.17G223400
Legume.fam3.00958,Glyma.04G058800,Glyma.06G059500,Glyma.14G105200,Glyma.17G220900
Legume.fam3.00960,Glyma.18G024400,Glyma.11G232667,Glyma.14G056700,Glyma.02G262400
Legume.fam3.00961,Glyma.18G026000,Glyma.11G231100,Glyma.02G258200,Glyma.14G058300
Legume.fam3.00963,Glyma.18G073500,Glyma.08G333300,Glyma.02G302800,Glyma.14G011100
Legume.fam3.00964,Glyma.08G325800,Glyma.18G081200,Glyma.02G297400,Glyma.14G016200
Legume.fam3.00967,Glyma.14G016400,Glyma.02G297200,Glyma.08G325600,Glyma.18G081500
Legume.fam3.00969,Glyma.08G126900,Glyma.05G168500,Glyma.12G169700,Glyma.08G188400
Legume.fam3.00970,Glyma.08G072100,Glyma.05G117000,Glyma.15G053600,Glyma.08G178900
Legume.fam3.00972,Glyma.07G183700,Glyma.08G066500,Glyma.15G059100,Glyma.13G255600
Legume.fam3.00973,Glyma.15G069100,Glyma.13G244600,Glyma.07G191600,Glyma.13G185100
Legume.fam3.00974,Glyma.15G072100,Glyma.13G241300,Glyma.07G195000,Glyma.13G181500
Legume.fam3.00975,Glyma.07G199000,Glyma.13G177400,Glyma.13G237400,Glyma.15G076200
Legume.fam3.00976,Glyma.15G088600,Glyma.13G223300,Glyma.05G163200,Glyma.08G120600
Legume.fam3.00978,Glyma.18G264400,Glyma.08G242100,Glyma.13G058600,Glyma.19G027900
Legume.fam3.00979,Glyma.09G257900,Glyma.18G234700,Glyma.07G069400,Glyma.16G035100
Legume.fam3.00981,Glyma.07G048200,Glyma.16G017100,Glyma.03G262200,Glyma.19G261300
Legume.fam3.00983,Glyma.15G024200,Glyma.13G350300,Glyma.07G009900,Glyma.08G193100
Legume.fam3.00986,Glyma.08G218100,Glyma.07G023700,Glyma.13G369800,Glyma.15G003600
Legume.fam3.00987,Glyma.18G208800,Glyma.09G280200,Glyma.01G128100,Glyma.03G042700
Legume.fam3.00989,Glyma.05G033000,Glyma.17G093900,Glyma.06G187000,Glyma.04G177900
Legume.fam3.00990,Glyma.04G181900,Glyma.06G183000,Glyma.17G090100,Glyma.05G037100
Legume.fam3.00991,Glyma.04G185800,Glyma.06G180300,Glyma.05G039800,Glyma.17G087100
Legume.fam3.00995,Glyma.18G008300,Glyma.11G249000,Glyma.05G146300,Glyma.08G103100
Legume.fam3.00996,Glyma.17G060600,Glyma.13G099500,Glyma.09G058000,Glyma.15G164100
Legume.fam3.00997,Glyma.15G165800,Glyma.09G059500,Glyma.13G100400,Glyma.17G059500
Legume.fam3.01002,Glyma.10G183300,Glyma.20G206900,Glyma.10G004800,Glyma.02G003700
Legume.fam3.01005,Glyma.12G114000,Glyma.06G292200,Glyma.13G296400,Glyma.12G205000
Legume.fam3.01007,Glyma.01G157500,Glyma.11G087500,Glyma.09G196800,Glyma.16G111900
Legume.fam3.01008,Glyma.13G297700,Glyma.12G203900,Glyma.06G293400,Glyma.12G112000
Legume.fam3.01010,Glyma.01G165900,Glyma.11G077500,Glyma.02G047700,Glyma.16G127400
Legume.fam3.01011,Glyma.16G142800,Glyma.02G060002,Glyma.01G179900,Glyma.11G062300
Legume.fam3.01014,Glyma.05G104400,Glyma.17G163900,Glyma.01G191700,Glyma.11G050400
Legume.fam3.01016,Glyma.05G104000,Glyma.17G163500,Glyma.01G192300,Glyma.11G049800
Legume.fam3.01017,Glyma.05G104800,Glyma.17G161700,Glyma.01G193000,Glyma.11G048800
Legume.fam3.01018,Glyma.01G193600,Glyma.11G048300,Glyma.17G161300,Glyma.05G105200
Legume.fam3.01019,Glyma.05G107500,Glyma.17G159600,Glyma.11G046400,Glyma.01G195300
Legume.fam3.01020,Glyma.11G037900,Glyma.01G205100,Glyma.17G146600,Glyma.05G064800
Legume.fam3.01021,Glyma.11G033500,Glyma.01G208700,Glyma.05G060200,Glyma.17G142600
Legume.fam3.01028,Glyma.13G311200,Glyma.12G190500,Glyma.12G096000,Glyma.06G308900
Legume.fam3.01030,Glyma.01G038002,Glyma.02G026800,Glyma.08G292800,Glyma.18G130500
Legume.fam3.01034,Glyma.12G181400,Glyma.13G319500,Glyma.11G189500,Glyma.12G084700
Legume.fam3.01036,Glyma.12G174100,Glyma.13G325200,Glyma.12G076200,Glyma.11G145500
Legume.fam3.01037,Glyma.11G145900,Glyma.12G075700,Glyma.13G325600,Glyma.12G172100
Legume.fam3.01043,Glyma.02G106800,Glyma.01G046600,Glyma.18G120000,Glyma.08G300500
Legume.fam3.01044,Glyma.01G044100,Glyma.02G019500,Glyma.18G123800,Glyma.08G297900
Legume.fam3.01053,Glyma.07G223500,Glyma.20G023200,Glyma.09G021100,Glyma.15G127500
Legume.fam3.01055,Glyma.15G006100,Glyma.13G367300,Glyma.07G028000,Glyma.08G214600
Legume.fam3.01058,Glyma.09G007900,Glyma.15G112300,Glyma.07G263800,Glyma.17G010100
Legume.fam3.01060,Glyma.09G180300,Glyma.07G097700,Glyma.05G241900,Glyma.08G049400
Legume.fam3.01062,Glyma.07G093700,Glyma.09G182600,Glyma.05G237500,Glyma.08G044700
Legume.fam3.01065,Glyma.18G256400,Glyma.09G240100,Glyma.19G020500,Glyma.13G064300
Legume.fam3.01067,Glyma.19G152900,Glyma.03G149900,Glyma.02G149900,Glyma.10G023900
Legume.fam3.01069,Glyma.10G044400,Glyma.13G132002,Glyma.03G172400,Glyma.19G173300
Legume.fam3.01070,Glyma.13G136000,Glyma.10G048200,Glyma.03G176800,Glyma.19G177500
Legume.fam3.01072,Glyma.03G194700,Glyma.19G194300,Glyma.13G153086,Glyma.10G071400
Legume.fam3.01080,Glyma.20G220400,Glyma.10G169200,Glyma.03G253800,Glyma.19G251300
Legume.fam3.01081,Glyma.20G218902,Glyma.10G171300,Glyma.18G243100,Glyma.09G249300
Legume.fam3.01082,Glyma.08G068300,Glyma.07G181500,Glyma.13G257100,Glyma.15G057800
Legume.fam3.01085,Glyma.16G104500,Glyma.16G074200,Glyma.01G148900,Glyma.09G212800
Legume.fam3.01086,Glyma.17G123800,Glyma.05G015400,Glyma.04G144900,Glyma.06G208900
Legume.fam3.01087,Glyma.14G223000,Glyma.17G261500,Glyma.06G019800,Glyma.04G019500
Legume.fam3.01088,Glyma.14G222400,Glyma.17G261300,Glyma.06G020800,Glyma.04G020700
Legume.fam3.01090,Glyma.14G171500,Glyma.13G088100,Glyma.06G105000,Glyma.04G103900
Legume.fam3.01093,Glyma.02G216000,Glyma.14G183000,Glyma.06G098700,Glyma.04G096900
Legume.fam3.01094,Glyma.14G130800,Glyma.17G202600,Glyma.06G074400,Glyma.04G073200
Legume.fam3.01096,Glyma.11G116600,Glyma.12G042400,Glyma.04G011900,Glyma.06G011700
Legume.fam3.01097,Glyma.14G117100,Glyma.17G209500,Glyma.06G069500,Glyma.04G067800
Legume.fam3.01098,Glyma.17G216800,Glyma.14G110900,Glyma.06G063700,Glyma.04G062600
Legume.fam3.01102,Glyma.12G038600,Glyma.11G112700,Glyma.04G009100,Glyma.06G009000
Legume.fam3.01107,Glyma.11G215800,Glyma.18G040700,Glyma.14G214500,Glyma.02G244600
Legume.fam3.01109,Glyma.14G016800,Glyma.02G296800,Glyma.18G082000,Glyma.08G325200
Legume.fam3.01110,Glyma.02G295300,Glyma.14G018100,Glyma.08G322300,Glyma.18G089800
Legume.fam3.01112,Glyma.14G193900,Glyma.02G226900,Glyma.11G174500,Glyma.18G062300
